Edge Server IDs,Available CPU Cores,Available GPU Cores,Available Storage,Process ID,Process Name,User ID,Computing Node ID,Processing Percentage,Latency(ms),Is Scheduled?,Packet Data Sizes(bits),Reporting Time(ms)
,,,,84,Sensor_Data_Processing,27,28,0,1100.9407972738902,N/A,N/A,449.999999999983
,,,,88,Sensor_Data_Processing,29,30,0,879.5421172502001,N/A,N/A,449.999999999983
,,,,32,Sensor_Data_Processing,1,27,0,2216.612080550092,N/A,N/A,449.999999999983
,,,,34,Sensor_Data_Processing,2,28,0,2421.5312071052135,N/A,N/A,449.999999999983
,,,,36,Sensor_Data_Processing,3,29,0,1550.9376355655363,N/A,N/A,449.999999999983
,,,,40,Sensor_Data_Processing,5,26,0,594.8759007307394,N/A,N/A,449.999999999983
,,,,42,Sensor_Data_Processing,6,27,0,2292.914122394259,N/A,N/A,449.999999999983
,,,,44,Sensor_Data_Processing,7,28,0,1025.021897963223,N/A,N/A,449.999999999983
,,,,46,Sensor_Data_Processing,8,29,0,1992.3448591931183,N/A,N/A,449.999999999983
,,,,48,Sensor_Data_Processing,9,30,0,827.1099508179404,N/A,N/A,449.999999999983
,,,,50,Sensor_Data_Processing,10,26,0,2157.8431507018217,N/A,N/A,449.999999999983
,,,,52,Sensor_Data_Processing,11,27,0,1161.25977762309,N/A,N/A,449.999999999983
,,,,54,Sensor_Data_Processing,12,28,0,1412.477056783433,N/A,N/A,449.999999999983
,,,,56,Sensor_Data_Processing,13,29,0,2361.9332346821893,N/A,N/A,449.999999999983
,,,,58,Sensor_Data_Processing,14,30,0,4430.206181544939,N/A,N/A,449.999999999983
,,,,60,Sensor_Data_Processing,15,26,0,524.5955762161384,N/A,N/A,449.999999999983
,,,,62,Sensor_Data_Processing,16,27,0,2813.3539937106457,N/A,N/A,449.999999999983
,,,,66,Sensor_Data_Processing,18,29,0,3460.1720997101897,N/A,N/A,449.999999999983
,,,,68,Sensor_Data_Processing,19,30,0,2547.891604918336,N/A,N/A,449.999999999983
,,,,70,Sensor_Data_Processing,20,26,0,3192.03990663596,N/A,N/A,449.999999999983
,,,,76,Sensor_Data_Processing,23,29,0,1252.047376986283,N/A,N/A,449.999999999983
,,,,80,Sensor_Data_Processing,25,26,0,2199.8548975360286,N/A,N/A,449.999999999983
,,,,84,Sensor_Data_Processing,27,28,0,1100.9407972738902,N/A,N/A,449.999999999983
,,,,88,Sensor_Data_Processing,29,30,0,879.5421172502001,N/A,N/A,449.999999999983
,,,,32,Sensor_Data_Processing,1,27,0,2216.612080550092,N/A,N/A,449.999999999983
,,,,34,Sensor_Data_Processing,2,28,0,2421.5312071052135,N/A,N/A,449.999999999983
,,,,36,Sensor_Data_Processing,3,29,0,1550.9376355655363,N/A,N/A,449.999999999983
,,,,40,Sensor_Data_Processing,5,26,0,594.8759007307394,N/A,N/A,449.999999999983
,,,,42,Sensor_Data_Processing,6,27,0,2292.914122394259,N/A,N/A,449.999999999983
,,,,44,Sensor_Data_Processing,7,28,0,1025.021897963223,N/A,N/A,449.999999999983
,,,,46,Sensor_Data_Processing,8,29,0,1992.3448591931183,N/A,N/A,449.999999999983
,,,,48,Sensor_Data_Processing,9,30,0,827.1099508179404,N/A,N/A,449.999999999983
,,,,50,Sensor_Data_Processing,10,26,0,2157.8431507018217,N/A,N/A,449.999999999983
,,,,52,Sensor_Data_Processing,11,27,0,1161.25977762309,N/A,N/A,449.999999999983
,,,,54,Sensor_Data_Processing,12,28,0,1412.477056783433,N/A,N/A,449.999999999983
,,,,56,Sensor_Data_Processing,13,29,0,2361.9332346821893,N/A,N/A,449.999999999983
,,,,58,Sensor_Data_Processing,14,30,0,4430.206181544939,N/A,N/A,449.999999999983
,,,,60,Sensor_Data_Processing,15,26,0,524.5955762161384,N/A,N/A,449.999999999983
,,,,62,Sensor_Data_Processing,16,27,0,2813.3539937106457,N/A,N/A,449.999999999983
,,,,66,Sensor_Data_Processing,18,29,0,3460.1720997101897,N/A,N/A,449.999999999983
,,,,68,Sensor_Data_Processing,19,30,0,2547.891604918336,N/A,N/A,449.999999999983
,,,,70,Sensor_Data_Processing,20,26,0,3192.03990663596,N/A,N/A,449.999999999983
,,,,76,Sensor_Data_Processing,23,29,0,1252.047376986283,N/A,N/A,449.999999999983
,,,,80,Sensor_Data_Processing,25,26,0,2199.8548975360286,N/A,N/A,449.999999999983
,,,,84,Sensor_Data_Processing,27,28,0,1100.9407972738902,N/A,N/A,449.999999999983
,,,,88,Sensor_Data_Processing,29,30,0,879.5421172502001,N/A,N/A,449.999999999983
,,,,32,Sensor_Data_Processing,1,27,0,2216.612080550092,N/A,N/A,449.999999999983
,,,,34,Sensor_Data_Processing,2,28,0,2421.5312071052135,N/A,N/A,449.999999999983
,,,,36,Sensor_Data_Processing,3,29,0,1550.9376355655363,N/A,N/A,449.999999999983
,,,,40,Sensor_Data_Processing,5,26,0,594.8759007307394,N/A,N/A,449.999999999983
,,,,42,Sensor_Data_Processing,6,27,0,2292.914122394259,N/A,N/A,449.999999999983
,,,,44,Sensor_Data_Processing,7,28,0,1025.021897963223,N/A,N/A,449.999999999983
,,,,46,Sensor_Data_Processing,8,29,0,1992.3448591931183,N/A,N/A,449.999999999983
,,,,48,Sensor_Data_Processing,9,30,0,827.1099508179404,N/A,N/A,449.999999999983
,,,,50,Sensor_Data_Processing,10,26,0,2157.8431507018217,N/A,N/A,449.999999999983
,,,,52,Sensor_Data_Processing,11,27,0,1161.25977762309,N/A,N/A,449.999999999983
,,,,54,Sensor_Data_Processing,12,28,0,1412.477056783433,N/A,N/A,449.999999999983
,,,,56,Sensor_Data_Processing,13,29,0,2361.9332346821893,N/A,N/A,449.999999999983
,,,,58,Sensor_Data_Processing,14,30,0,4430.206181544939,N/A,N/A,449.999999999983
,,,,60,Sensor_Data_Processing,15,26,0,524.5955762161384,N/A,N/A,449.999999999983
,,,,62,Sensor_Data_Processing,16,27,0,2813.3539937106457,N/A,N/A,449.999999999983
,,,,66,Sensor_Data_Processing,18,29,0,3460.1720997101897,N/A,N/A,449.999999999983
,,,,68,Sensor_Data_Processing,19,30,0,2547.891604918336,N/A,N/A,449.999999999983
,,,,70,Sensor_Data_Processing,20,26,0,3192.03990663596,N/A,N/A,449.999999999983
,,,,76,Sensor_Data_Processing,23,29,0,1252.047376986283,N/A,N/A,449.999999999983
,,,,80,Sensor_Data_Processing,25,26,0,2199.8548975360286,N/A,N/A,449.999999999983
,,,,84,Sensor_Data_Processing,27,28,0,1100.9407972738902,N/A,N/A,449.999999999983
,,,,88,Sensor_Data_Processing,29,30,0,879.5421172502001,N/A,N/A,449.999999999983
